source_category,source_name,url,content_type,format,rights_status,recommended_use,notes
Owned Agency Decks,Internal pitch decks,"N/A — internal","Deck structures, scene sequences, copy patterns",PPTX/PDF/Keynote,Fully owned,Trainable,"Best source for proprietary deck intelligence. Redact client-confidential information before ingestion."
Owned Agency Decks,Internal strategy documents,"N/A — internal","Strategic frameworks, extraction patterns",PPTX/PDF/DOC,Fully owned,Trainable,"Extract structural patterns, not client data."
Owned Agency Decks,Internal credentials decks,"N/A — internal","Agency positioning, case study structures",PPTX/PDF,Fully owned,Trainable,"Good for credentials deck templates and case study scene patterns."
Owned Agency Decks,Internal workshop materials,"N/A — internal","Exercise formats, facilitation structures",PPTX/PDF/Miro,Fully owned,Trainable,"Capture workshop scene types and exercise formats."
Permissioned Client Decks,Client-shared brand guidelines,"N/A — client provided","Brand kits, visual systems",PDF/AI/Sketch,Client-licensed for project use,"Reference only — unless explicit training permission","I cannot confirm this source is safe for commercial AI training without explicit written client permission."
Permissioned Client Decks,Client-shared research decks,"N/A — client provided","Research findings, audience data",PPTX/PDF,Client-licensed for project use,Reference only,"Useful for understanding extraction patterns. Do not train on client data without permission."
Public Reference Decks,SlideShare / LinkedIn SlideShare,https://www.slideshare.net,"Published presentations, pitch decks",PDF/PPTX embed,"Public — uploaded by creators. Terms vary.",Reference only,"I cannot confirm this source is safe for commercial AI training. Use for structural pattern analysis only. Do not reproduce content."
Public Reference Decks,Pitch Deck Hunt,https://pitchdeckhunt.com,"Startup pitch decks (public)",Web/PDF,Public — curated from public sources,Reference only,"Good for pitch deck structural analysis. I cannot confirm commercial training rights."
Public Reference Decks,Canva Design School,https://www.canva.com/designschool,"Presentation design education, templates",Web,Canva terms — templates are Canva-licensed,Reference only,"Useful for layout and design pattern research. Templates subject to Canva license."
Public Reference Decks,Beautiful.ai Gallery,https://www.beautiful.ai/presentation-templates,"Presentation templates",Web,Beautiful.ai terms,Reference only,"Commercial template library. I cannot confirm training rights."
Brand Guidelines — Public,Brandpad Public Brand Pages,https://brandpad.io,"Published brand guidelines",Web/PDF,Published by brands — public reference,Reference only,"Some brands publish guidelines publicly. Verify individual brand permissions before any training use."
Brand Guidelines — Public,Brand Style Guide Examples (various),https://www.logodesignlove.com,"Brand identity case studies",Web,Blog content — fair use for reference,Reference only,"Good for understanding brand kit structure. Not for training."
Template Libraries,Google Slides Templates,https://docs.google.com/presentation,"Presentation templates",Google Slides,Google-licensed for use,Reference only,"Free to use as starting points. Structural patterns are useful. I cannot confirm training rights."
Template Libraries,Figma Community Templates,https://www.figma.com/community,"Presentation and design templates",Figma,Community license (varies by file),Reference only,"Individual file licenses vary. Check each file's license before any commercial use."
Visual Inspiration,Behance,https://www.behance.net,"Creative portfolios, presentation design",Web/Images,"Creator-owned. All rights reserved by default.",Reference only,"I cannot confirm this source is safe for commercial AI training. View-only for visual pattern research."
Visual Inspiration,Dribbble,https://dribbble.com,"Design work, presentation design",Web/Images,"Creator-owned. All rights reserved by default.",Reference only,"I cannot confirm this source is safe for commercial AI training. View-only inspiration."
Visual Inspiration,Pinterest (curated boards),https://www.pinterest.com,"Visual mood boards, design references",Web/Images,Aggregated — original rights with creators,Reference only,"Never train on Pinterest content. Use only for human visual research."
Fonts — Open Source,Google Fonts,https://fonts.google.com,"Web fonts, variable fonts",WOFF2/TTF/OTF,Open Font License (OFL) / Apache 2.0,Trainable and usable,"Safe for commercial use. Inter, Space Grotesk, DM Sans, Instrument Sans are excellent for decks."
Fonts — Open Source,Font Squirrel,https://www.fontsquirrel.com,"Free commercial-use fonts",TTF/OTF/WOFF,Varies — check individual licenses,Check individual license,"Most fonts are free for commercial use but verify each license. Filter by '100% Free' for safety."
Fonts — Open Source,The League of Moveable Type,https://www.theleagueofmoveabletype.com,"Open source fonts",OTF/WOFF,Open Font License,Trainable and usable,"High-quality open source type foundry. Safe for commercial use."
