scene_type,purpose,typical_content,ideal_media,visual_layout,copy_density,typical_position,deck_types
cover,"Set tone, identity, and first impression","Project/campaign title, client name, agency name, date, confidentiality notice","Full-bleed hero image or branded texture, logo","Centred single focal point, minimal elements, strong typography",Minimal — title + subtitle only,Scene 1 (always first),"All types"
intro,"Establish who is presenting and why","Agency intro, team credentials, relationship to brief, session objectives","Team photo, agency reel thumbnail, brand marks","Split layout — text left / image right, or centred statement",Low — 2–3 sentences max,"Scene 2–3","Pitch, Credentials, Workshop"
overview,"Orient the audience to what follows","Agenda, structure outline, what to expect, session duration","Icons, numbered list graphic, simple timeline visual","Clean list or numbered grid, generous white space",Low — bullet points or numbered items,"Scene 2–4","Strategy, Workshop, Innovation"
brief,"Recap the client's original brief or challenge statement","Client's own words, brief excerpt, project scope, success criteria","Pull-quote styling, document excerpt visual","Large pull-quote centred, or brief doc overlay",Medium — direct brief language verbatim,"Scene 3–5","Pitch, Campaign, Strategy"
challenge,"Define the core problem the work addresses","Problem statement, market friction, business tension, what's at stake","Data visualization, tension diagram, before/after","Bold statement centred, supporting evidence below",Medium — 1 bold statement + 2–3 supporting lines,"Scene 4–7","Pitch, Strategy, Campaign, Innovation"
audience,"Bring the target audience to life","Demographics, psychographics, behaviours, verbatim quotes, day-in-life","Portrait photography, persona cards, quote overlays","Grid of persona cards, or single portrait with overlaid data",Medium — mix of data points and human quotes,"Scene 5–8","Pitch, Strategy, Campaign"
market_context,"Show the competitive and cultural landscape","Competitor positions, market trends, cultural forces, category data","Charts, competitor logos, trend imagery, data viz","Dashboard-style multi-element layout, or clean chart focus",High — data-heavy with annotations,"Scene 4–7","Strategy, Pitch, Innovation"
insight,"Reveal the core human or cultural truth","Single powerful insight statement, supporting evidence, source","Minimal — typography-led, optional supporting image","Centred single statement, large type, dramatic white space",Low — 1 sentence insight + 1–2 lines of support,"Scene 6–9 (the pivot point)","Pitch, Campaign, Strategy"
strategy,"Present the strategic framework or approach","Strategic pillars, positioning framework, messaging hierarchy","Framework diagram, strategic model visualization","Diagram-centred, clean supporting labels",Medium — framework labels + brief explanations,"Scene 7–10","Strategy, Pitch"
opportunity,"Frame the strategic opening the brand can own","Opportunity statement, white space in market, unmet need","Gap diagram, opportunity map, market white space visual","Bold statement + supporting visual evidence",Low-medium — opportunity framed as a single compelling statement,"Scene 7–10","Strategy, Pitch, Innovation"
proposition,"State the core brand or campaign proposition","Single proposition line, supporting rationale, brand promise","Typography-led, optional brand visual","Centred large-type proposition, supporting line below",Low — must be memorably concise,"Scene 8–11","Pitch, Campaign, Strategy"
route_reveal,"Introduce a creative direction","Route name, concept statement, visual mood, tonal description","Mood board, style frames, visual territory images","Immersive — full-bleed mood imagery with overlaid concept text",Medium — concept statement + visual description,"Scene 9–13","Pitch, Campaign"
idea_board,"Show the creative idea in its fullest expression","Hero executions, campaign name, manifesto, key visual","Hero creative, campaign film stills, key art","Full-bleed hero creative, or gallery of executions",Low-medium — headline + manifesto,"Scene 10–14","Pitch, Campaign"
execution,"Show how the idea lives across channels","Channel-specific executions — social, OOH, digital, print, experiential","Mockups, device frames, environment renders","Grid of execution mockups, or channel-by-channel sequence",Low — each execution speaks visually,"Scene 11–16","Campaign, Pitch"
media_plan,"Show where and when the work will appear","Channel mix, media weights, targeting approach, flighting","Media plan chart, channel icons, Gantt-style timeline","Table or Gantt chart, clean and scannable",High — detailed media data,"Scene 14–17","Campaign, Pitch"
timeline,"Show project phases and milestones","Key dates, phases, deliverables, dependencies, milestones","Gantt chart, timeline graphic, milestone markers","Horizontal timeline, clear phase blocks",Medium — dates and deliverable names,"Scene 15–18","Campaign, Pitch, Innovation"
production,"Explain how the work will be made","Production approach, key partners, methodology, shoot plan","Production stills, partner logos, process diagram","Split — process visual + partner/methodology details",Medium — practical production details,"Scene 16–19","Campaign, Pitch"
budget,"Present cost and investment structure","Budget breakdown, phase costs, options, investment rationale","Clean table, pie chart, or tiered options visual","Table or tiered card layout, clean and professional",High — detailed financial data,"Scene 17–19 (always near end)","Campaign, Pitch, Innovation"
case_study,"Prove capability through past work","Challenge, solution, results, client context, visual examples","Campaign imagery, results graphics, client testimonial","Narrative sequence — mini-deck within the deck",Medium — concise storytelling with proof points,"Varies — mid-deck for credentials, late for pitch","Credentials, Pitch, Keynote"
quote,"Add human voice or external authority","Client quote, consumer verbatim, expert endorsement, research finding","Portrait photo, pull-quote typography","Centred large pull-quote, attribution below, optional portrait",Low — the quote IS the content,"Variable — wherever human voice strengthens the argument","All types"
results,"Show measurable outcomes and impact","KPIs, before/after metrics, growth numbers, award wins","Data visualization, metric cards, trophy/award imagery","Metric dashboard or before/after comparison layout",Medium — numbers + context,"Scene 15–18 (case study), or closing section","Case Study, Credentials, Campaign"
provocation,"Challenge assumptions and stimulate thinking","Bold question, controversial statement, unexpected data point","Dramatic typography, stark imagery","Centred provocative statement, maximum visual impact",Minimal — single statement or question,"Variable — often opening or transition moments","Workshop, Keynote, Strategy"
exercise,"Facilitate group activity during a workshop","Activity brief, instructions, time allocation, materials needed","Template graphic, example output, timer visual","Instruction-card layout — clear steps, visible timer",Medium — clear actionable instructions,"Mid-deck in workshops","Workshop"
divider,"Create a visual pause between sections","Section title, transition phrase, visual break","Abstract texture, gradient, brand pattern","Full-bleed colour or texture with centred section title",Minimal — section title only,"Between major sections","All types"
closing,"End with impact and clear next steps","Thank you, contact details, next steps, final provocation, CTA","Brand mark, contact info, inspiring closing image","Centred closing statement, contact details below",Low — memorable final statement + practical info,"Final scene (always last)","All types"
